name,site,subtypes,category,type,borough,street,city,postal_code,us_state,latitude,longitude,rating,reviews,reviews_per_score_1,reviews_per_score_2,reviews_per_score_3,reviews_per_score_4,reviews_per_score_5,photos_count,verified,location_link,place_id,google_id
JSJ Property Management,http://www.jsjmanagement.com/,Property management company,Property management company,Property management company,,302 W Springfield Ave,Champaign,61820.0,Illinois,40.112886,-88.2473011,4.0,607,132,11,11,18,435,19,True,"https://www.google.com/maps/place/JSJ+Property+Management/@40.112885999999996,-88.2473011,14z/data=!4m8!1m2!2m1!1sJSJ+Property+Management!3m4!1s0x880cd734801be1af:0xffac7d746203990e!8m2!3d40.112885999999996!4d-88.2473011",ChIJr-EbgDTXDIgRDpkDYnR9rP8,0x880cd734801be1af:0xffac7d746203990e
CU Property Management,http://www.cupropertymanagement.com/,Property management company,Property management company,Property management company,,1005 S Neil St Ste 2,Champaign,61820.0,Illinois,40.1043929,-88.244041,4.4,105,12,2,1,2,88,4,True,"https://www.google.com/maps/place/CU+Property+Management/@40.1043929,-88.244041,14z/data=!4m8!1m2!2m1!1sCU+Property+Management!3m4!1s0x880cd708de2ef04b:0xfa12fdd44e01487b!8m2!3d40.1043929!4d-88.244041",ChIJS_Au3gjXDIgRe0gBTtT9Evo,0x880cd708de2ef04b:0xfa12fdd44e01487b
"Neves Group Property Management, INC",http://www.nevesgroup.com/,"Property management company, Apartment rental agency, Condominium rental agency, Office space rental agency",Property management company,Property management company,,801 W Bradley Ave,Champaign,61820.0,Illinois,40.1270349,-88.25524419999999,3.2,132,52,6,3,10,61,15,True,"https://www.google.com/maps/place/Neves+Group+Property+Management%2C+INC/@40.1270349,-88.25524419999999,14z/data=!4m8!1m2!2m1!1sNeves+Group+Property+Management%2C+INC!3m4!1s0x880cd0a8ad3673f1:0x924f05cbe227d55a!8m2!3d40.1270349!4d-88.25524419999999",ChIJ8XM2rajQDIgRWtUn4ssFT5I,0x880cd0a8ad3673f1:0x924f05cbe227d55a
"Professional Property Management of CU, Inc.",http://www.ppmrent.com/,"Property management company, Apartment rental agency",Property management company,Property management company,,401 E Springfield Ave,Champaign,61820.0,Illinois,40.11245,-88.2332947,2.3,45,28,2,0,3,12,15,True,"https://www.google.com/maps/place/Professional+Property+Management+of+CU%2C+Inc./@40.112449999999995,-88.2332947,14z/data=!4m8!1m2!2m1!1sProfessional+Property+Management+of+CU%2C+Inc.!3m4!1s0x880cd7476decb0ed:0x153dd92768a3eb14!8m2!3d40.112449999999995!4d-88.2332947",ChIJ7bDsbUfXDIgRFOujaCfZPRU,0x880cd7476decb0ed:0x153dd92768a3eb14
Prime Property Group,https://www.primepropertymgmtgroup.com/,"Property management company, Apartment rental agency, Property maintenance, Real estate rental agency",Property management company,Property management company,,1203 Hagan St,Champaign,61820.0,Illinois,40.1278764,-88.25501679999999,3.3,28,10,1,2,2,13,3,True,"https://www.google.com/maps/place/Prime+Property+Group/@40.1278764,-88.25501679999999,14z/data=!4m8!1m2!2m1!1sPrime+Property+Group!3m4!1s0x880cd0a9b3155555:0x7db3e6cfe101841!8m2!3d40.1278764!4d-88.25501679999999",ChIJVVUVs6nQDIgRQRgQ_mw-2wc,0x880cd0a9b3155555:0x7db3e6cfe101841
Fairlawn Leasing & Resident Services,https://www.fairlawncu.com/,"Property management company, Apartment rental agency",Property management company,Property management company,,2500 Galen Dr,Champaign,61821.0,Illinois,40.0822217,-88.26252149999999,4.4,834,115,9,6,34,670,211,True,"https://www.google.com/maps/place/Fairlawn+Leasing+%26+Resident+Services/@40.0822217,-88.26252149999999,14z/data=!4m8!1m2!2m1!1sFairlawn+Leasing+%26+Resident+Services!3m4!1s0x880cd13ccaef0b01:0x59f0053cc482e128!8m2!3d40.0822217!4d-88.26252149999999",ChIJAQvvyjzRDIgRKOGCxDwF8Fk,0x880cd13ccaef0b01:0x59f0053cc482e128
Community Property Management,http://cpm-apts.com/,"Property management company, Apartment building, Apartment complex, Apartment rental agency, Furnished apartment building",Property management company,Property management company,,408 Kenwood Rd,Champaign,61821.0,Illinois,40.11212889999999,-88.2852824,4.3,554,75,4,12,48,415,13,True,"https://www.google.com/maps/place/Community+Property+Management/@40.112128899999995,-88.2852824,14z/data=!4m8!1m2!2m1!1sCommunity+Property+Management!3m4!1s0x880cd738419b7197:0x8e391d78bc428750!8m2!3d40.112128899999995!4d-88.2852824",ChIJl3GbQTjXDIgRUIdCvHgdOY4,0x880cd738419b7197:0x8e391d78bc428750
Wampler Property Management,http://www.wamplerapartments.com/,"Property management company, Apartment rental agency, Office space rental agency",Property management company,Property management company,,412 W Clark St,Champaign,61820.0,Illinois,40.1154792,-88.249567,4.0,21,4,0,1,3,13,70,True,"https://www.google.com/maps/place/Wampler+Property+Management/@40.115479199999996,-88.249567,14z/data=!4m8!1m2!2m1!1sWampler+Property+Management!3m4!1s0x880cd73374d94a1b:0x5a77d9d587f577f2!8m2!3d40.115479199999996!4d-88.249567",ChIJG0rZdDPXDIgR8nf1h9XZd1o,0x880cd73374d94a1b:0x5a77d9d587f577f2
Vortex Property Group,,Property management company,Property management company,Property management company,,1903 Nancy Ct,Champaign,61822.0,Illinois,40.0818221,-88.27849289999999,3.6,16,3,2,1,2,8,1,False,"https://www.google.com/maps/place/Vortex+Property+Group/@40.0818221,-88.27849289999999,14z/data=!4m8!1m2!2m1!1sVortex+Property+Group!3m4!1s0x880cd1058ef44f7f:0x12063017a9e0e63d!8m2!3d40.0818221!4d-88.27849289999999",ChIJf0_0jgXRDIgRPebgqRcwBhI,0x880cd1058ef44f7f:0x12063017a9e0e63d
Colony Property Management,https://www.colony-property.com/,Property management company,Property management company,Property management company,,701 Devonshire Dr building C,Champaign,61820.0,Illinois,40.08788029999999,-88.2543697,2.2,11,7,0,1,1,2,2,True,"https://www.google.com/maps/place/Colony+Property+Management/@40.087880299999995,-88.2543697,14z/data=!4m8!1m2!2m1!1sColony+Property+Management!3m4!1s0x880cd128f4efe1f1:0xd0a03cab48883bcd!8m2!3d40.087880299999995!4d-88.2543697",ChIJ8eHv9CjRDIgRzTuISKs8oNA,0x880cd128f4efe1f1:0xd0a03cab48883bcd
