datetime,keyword,trend_index
Jan 2004,Kanye West,7
Feb 2004,Kanye West,13
Mar 2004,Kanye West,15
Apr 2004,Kanye West,15
May 2004,Kanye West,14
Jun 2004,Kanye West,13
Jul 2004,Kanye West,11
Aug 2004,Kanye West,10
Sep 2004,Kanye West,10
Oct 2004,Kanye West,9
Nov 2004,Kanye West,7
Dec 2004,Kanye West,7
Jan 2005,Kanye West,5
Feb 2005,Kanye West,8
Mar 2005,Kanye West,7
Apr 2005,Kanye West,6
May 2005,Kanye West,7
Jun 2005,Kanye West,8
Jul 2005,Kanye West,11
Aug 2005,Kanye West,22
Sep 2005,Kanye West,52
Oct 2005,Kanye West,24
Nov 2005,Kanye West,19
Dec 2005,Kanye West,17
Jan 2006,Kanye West,13
Feb 2006,Kanye West,17
Mar 2006,Kanye West,13
Apr 2006,Kanye West,9
May 2006,Kanye West,8
Jun 2006,Kanye West,6
Jul 2006,Kanye West,6
Aug 2006,Kanye West,5
Sep 2006,Kanye West,4
Oct 2006,Kanye West,4
Nov 2006,Kanye West,7
Dec 2006,Kanye West,4
Jan 2007,Kanye West,3
Feb 2007,Kanye West,4
Mar 2007,Kanye West,4
Apr 2007,Kanye West,4
May 2007,Kanye West,4
Jun 2007,Kanye West,8
Jul 2007,Kanye West,17
Aug 2007,Kanye West,22
Sep 2007,Kanye West,53
Oct 2007,Kanye West,23
Nov 2007,Kanye West,33
Dec 2007,Kanye West,15
Jan 2008,Kanye West,12
Feb 2008,Kanye West,20
Mar 2008,Kanye West,13
Apr 2008,Kanye West,13
May 2008,Kanye West,17
Jun 2008,Kanye West,14
Jul 2008,Kanye West,11
Aug 2008,Kanye West,12
Sep 2008,Kanye West,21
Oct 2008,Kanye West,20
Nov 2008,Kanye West,32
Dec 2008,Kanye West,27
Jan 2009,Kanye West,20
Feb 2009,Kanye West,19
Mar 2009,Kanye West,18
Apr 2009,Kanye West,21
May 2009,Kanye West,19
Jun 2009,Kanye West,18
Jul 2009,Kanye West,18
Aug 2009,Kanye West,17
Sep 2009,Kanye West,100
Oct 2009,Kanye West,22
Nov 2009,Kanye West,14
Dec 2009,Kanye West,13
Jan 2010,Kanye West,12
Feb 2010,Kanye West,12
Mar 2010,Kanye West,9
Apr 2010,Kanye West,9
May 2010,Kanye West,10
Jun 2010,Kanye West,12
Jul 2010,Kanye West,13
Aug 2010,Kanye West,20
Sep 2010,Kanye West,32
Oct 2010,Kanye West,36
Nov 2010,Kanye West,44
Dec 2010,Kanye West,32
Jan 2011,Kanye West,29
Feb 2011,Kanye West,22
Mar 2011,Kanye West,21
Apr 2011,Kanye West,23
May 2011,Kanye West,18
Jun 2011,Kanye West,18
Jul 2011,Kanye West,17
Aug 2011,Kanye West,27
Sep 2011,Kanye West,18
Oct 2011,Kanye West,17
Nov 2011,Kanye West,15
Dec 2011,Kanye West,16
Jan 2012,Kanye West,15
Feb 2012,Kanye West,16
Mar 2012,Kanye West,14
Apr 2012,Kanye West,26
May 2012,Kanye West,20
Jun 2012,Kanye West,25
Jul 2012,Kanye West,24
Aug 2012,Kanye West,20
Sep 2012,Kanye West,31
Oct 2012,Kanye West,20
Nov 2012,Kanye West,16
Dec 2012,Kanye West,19
Jan 2013,Kanye West,17
Feb 2013,Kanye West,16
Mar 2013,Kanye West,15
Apr 2013,Kanye West,15
May 2013,Kanye West,20
Jun 2013,Kanye West,39
Jul 2013,Kanye West,21
Aug 2013,Kanye West,19
Sep 2013,Kanye West,21
Oct 2013,Kanye West,21
Nov 2013,Kanye West,31
Dec 2013,Kanye West,24
Jan 2014,Kanye West,17
Feb 2014,Kanye West,17
Mar 2014,Kanye West,15
Apr 2014,Kanye West,14
May 2014,Kanye West,16
Jun 2014,Kanye West,14
Jul 2014,Kanye West,13
Aug 2014,Kanye West,14
Sep 2014,Kanye West,18
Oct 2014,Kanye West,11
Nov 2014,Kanye West,12
Dec 2014,Kanye West,12
Jan 2015,Kanye West,17
Feb 2015,Kanye West,43
Mar 2015,Kanye West,25
Apr 2015,Kanye West,16
May 2015,Kanye West,17
Jun 2015,Kanye West,17
