property_id,date_posted,days_on_zillow,price,description,beds,baths,year_built,latitude,longitude,lot_size,living_area,address_street,address_city,address_state,address_zipcode,reso_has_garage,reso_has_attached_garage,reso_garage_parking_capacity,reso_parking_capacity,reso_attic,reso_stories,reso_basement_yn,reso_has_cooling,reso_has_heating,reso_is_new_construction,reso_elementary_school,reso_middle_or_junior_school,reso_high_school,reso_tax_annual_amount
3232534,2022-05-24,1053,165000,"This 3 bedroom ranch in an established neighborhood is located close to schools, busline, and shopping.  New carpet throughout, you enter via the large living room, with adjacent kitchen with breakfast bar, gas stove, dishwasher, and pantry closet.  The full bath with vinyl floor and dual vanity is conveniently located  near the three bedrooms.  This home has hot water heat and window AC, plus a one car attached garage with work bench and washer/dryer hookups.  Off the back of the garage is a 3 seasons sunroom with vinyl flooring and electric heat.  Out back enjoy the large fenced yard with deck and shed.  Seller is offering a one year Cinch Home Warranty for the Buyer.",3,1.0,1958,40.09395,-88.26074,10660.0,1436.0,1804 McDonald Dr,Champaign,IL,61821,True,1.0,1.0,1,,1.0,1.0,1.0,1.0,0.0,Unit 4 Of Choice,Champaign/Middle Call Unit 4 351,Central High School,3270.0
3197892,2022-05-27,1028,900000,"A TRULY SPECTACULAR HOME IN LINCOLNSHIRE FIELDS WITH 214'  OF GOLF COURSE FRONTAGE!   Hallbeck built, one owner, mostly brick with over 5,430 sq. ft. on main and second floor, 2,570 in basement with 1,400 sq. ft. finished.  Exquisite leaded glass double front doors.  The living room is open above with additional space for a full sized piano and has one of three fireplaces.  The very large family room with stone fireplace and study with beautiful built-in office cabinets with sound system BOTH feature stunning vaulted, cedar ceilings.  The kitchen has high end appliances, double Gaggenau ovens, Sub Zero refrigerator, double Bosch dishwashers with second in butler's pantry.  Breakfast room with octagon tray ceiling.  The large dining room is amazing with 15' ceiling. Primary bedroom on main floor with walk-in closet and huge bathroom, walk-in double shower and Jacuzzi soaking tub.  There are two additional half baths on the first floor, one off the kitchen and one near utility room. Upstairs is a second bedroom en-suite.  There is an outdoor balcony with knock out view of the 17th hole connecting the second and third bedrooms.  The fourth bedroom and third full bathroom is there ready for another user.  Light woodwork throughout.  In the finished basement there is a family room with another fireplace and built-in, high end Alno cabinet wall with wet bar and space for refrigerator.  Another finished room would work for theatre room, exercise room, or fish tanks with floor drain.   There is a half bath and plumbing could be expanded in second utility room for  another bathroom.  Lots of unfinished space for storage.  The house has a extensive security system owned by seller that has alarms for motion,  smoke, glass breakage, and sump pumps.  Roof replaced 4/5 years ago, whole house generator replaced 1.5 years ago.    Two new furnace and ACs and another new in 2016.  Lower county taxes.  Three car garage.  This home sits on large .74 acre lot and is within a few minutes to University of Illinois campus, shopping, dining, parks and schools.    This is an outstanding property!",4,6.0,1993,40.09511,-88.30598,32234.0,5430.0,1809 Cobblefield Ct,Champaign,IL,61822,True,1.0,3.0,3,,2.0,1.0,1.0,1.0,0.0,Unit 4 Of Choice,Champaign/Middle Call Unit 4 351,Centennial High School,18782.0
3238411,2022-06-15,755,245000,"Wow!  711 W Green is a 5 bedroom, 2 full bath home with an unfinished basement, located just one block from the University of Illinois! Add this property to your rental property portfolio and enjoy the cash flow! This well-cared-for home has many original characteristics of an old home,  such as the beautiful fireplace with original mantle and tile surround (now decorative), and craftsman-style woodwork, but also modern efficiencies including dual pane vinyl windows.  Leased through July 2024.  Renters pay all utilities.",5,2.0,1903,40.110363,-88.21728,6098.0,2046.0,711 W Green St,Urbana,IL,61801,False,0.0,,2,,2.0,1.0,1.0,1.0,0.0,Leal Elementary School,Urbana Middle School,Urbana High School,9413.0
3220056,2022-06-23,1053,90000,"Your next home or addition to your rental property portfolio is 1909 Joanne Lane!  It is a five-bedroom, two-full-bath property that rents to long-term renters for $1300 per month until 9/30/2023. The attached garage has been converted to additional living space.  At over 1700 square feet of living space, it's a great property. Renters pay all utilities except sewer.",5,2.0,1956,40.136066,-88.272156,6098.0,1711.0,1909 Joanne Ln,Champaign,IL,61821,False,0.0,,2,,1.0,0.0,1.0,1.0,0.0,Unit 4 Of Choice,Champaign/Middle Call Unit 4 351,Central High School,2174.0
3239713,2022-06-30,1047,320000,"GREAT REDUCED PRICE... IN THE HEART OF URBANA...absolutely prime location on a historic street in the mature State Street neighborhood! Minutes to the University of Illinois, Carle and Blair parks, downtown Urbana, Farmer's Market and all schools. This two story home features extensive updating that blends charm and character with modern updates. A spacious three bedroom home remodeled in 2016 features a complete new kitchen with extra-tall cabinets,  gorgeous backsplash, newer Samsung appliances and beautiful refinished wood floors throughout the home. Newer first floor half bath, large laundry rm. includes W/D with many shelves/cabinets &  large windows. An air-lock entry door, large foyer, formal dining room with two built-in corner china cabinets. Gorgeous spacious living room features a gas log fireplace and a original built-in white shelve. On the second level are 3 large bedrooms, all with walk-in closets & many windows. Updated full bath offers double sinks, newer lighting, flooring, tiled wall & a soak in tub with shower. Partially finished basement offers a full bath, den with carpet flooring (could be used as bedroom) and plenty of storage space. Radon Mitigation System is in place; newer A/C unit, updated wiring, newer furnace & WH. Two car detached garage, large, private  backyard with spacious deck & much more. Location, Location... You don't want to miss this amazing updated home and now at a much reduced price! Schedule your showing today!!",3,3.0,1931,40.100426,-88.211136,6969.0,1700.0,303 W Pennsylvania Ave,Urbana,IL,61801,True,0.0,2.0,2,,2.0,1.0,1.0,1.0,0.0,Leal Elementary School,Urbana Middle School,Urbana High School,4492.0
89043911,2022-07-21,1076,415000,"Beautiful home featuring 5 bedrooms and 3 1/2 baths in Jacobs Landing. This property offers a sleek design with an abundance of natural light, hardwood floors, lake views and a finished basement. Primary suite is spa-like with a door-less walk in shower and double vanity. First floor bedroom/flex space. 2nd floor laundry. Very nice garage space with additional rear overhead door. Covered rear patio overlooking the water. Champaign address in Mahomet School District.",5,4.0,2018,40.101665,-88.32931,9600.0,2168.0,1413 Jacobs Blvd,Champaign,IL,61822,True,1.0,3.0,3,,2.0,1.0,1.0,1.0,0.0,Mahomet Elementary School,Mahomet Junior High School,Mahomet-Seymour High School,10472.0
89048786,2022-08-05,843,1150000,"Luxurious 2-Story Lakefront Haven Awaits You!    Discover the epitome of modern elegance in this breathtaking 5-bedroom, 4.5-bathroom new construction masterpiece nestled on the pond at Wilshire.  With unparalleled craftsmanship and meticulous attention to detail, this home offers a lifestyle of comfort and opulence.  If you've been searching for the perfect blend of modern luxury and natural beauty, this is the one. Don't miss the opportunity to own this 2-story masterpiece with an awe-inspiring 2-story design and a plethora of features that will make you fall in love at first sight.    Experience the perfect blend of practicality and sophistication as this home offers a main-level bedroom suite, ideal for visiting guests or a home office, while three generously-sized bedrooms, including a luxurious master suite, await you on the second level. The basement extends the options with another comfortable bedroom.  The heart of this home is the exquisite kitchen, featuring top-of-the-line appliances, quartz countertops, and a remarkable 5x10 walk-in pantry that is a true game-changer for organization and culinary creations.    The finished basement is an entertainer's dream with a fabulous rec room and a full second kitchen.  Your outdoor gatherings and celebrations will have the perfect setting from the large screened-in porch with the pond's stunning fountain in the background.    Parking is a breeze with the 3-car attached garage that provides space for your vehicles and additional storage.    Don't say we didn't warn you, this home is love at first sight!",5,5.0,2022,40.071877,-88.25941,14374.0,3859.0,604 Cayman Way,Savoy,IL,61874,True,1.0,3.0,3,,1.0,1.0,1.0,1.0,1.0,Champaign Elementary School,Champaign Junior High School,Champaign High School,18.0
3234385,2022-09-01,1025,720000,"Luxury living at its best in the highly desirable neighborhood of Devonshire South where a balanced blend of comfort and subdued elegance captures the essence of home.  With over 7500 square feet this one of a kind all brick home will fascinate and surprise at every opportunity. The welcoming wrap around porch is a true focal point where countless hours will be spent during the warmer months.  Off the entry are the dining room and the study both with so much versatility. The floor to ceiling windows letting in all the natural light make the two story kitchen a favorite place to gather.  Eat in kitchen not only has an abundance of prep space but wonderful storage for all those appliances you want hidden away.  Step down living room with the soaring 10' high ceiling includes an extended bay window area,  fireplace, built in bookcases, and cabinetry.  The main level features a front and rear staircase along with a 1/2 bath plus a fourth full bath. On the upper level are a total of six bedrooms and three full baths. The master suite with a sitting area, walk in closets and a very chic updated bath you won't want to miss. The guest suite has its own private bath and if you won't be using the rest of the rooms for sleeping think of the home office space, craft, or flex rooms.  Skylights and a vaulted beamed ceiling in the loft area make it inviting.  Finishing off the second floor is the highly functional laundry room that features a sink and cabinets, giving the home a high level of organization and ease.  A walk up stairway to the attic is perfect for storage. Retreat to the finished basement to enjoy a movie or to play some games. Situated on over an acre lot this well designed private backyard oasis is filled with tons of fun!  The above ground pool is surrounded by new decking, an expansive back deck and a paver patio.  Finish off your day relaxing in the screened porch. Three car garage with workshop and numerous amenities throughout. Such a rare find in the heart of Champaign.",6,5.0,1986,40.076717,-88.26301,46173.0,5722.0,1105 Galen Dr,Champaign,IL,61821,True,1.0,3.0,3,,2.0,1.0,1.0,1.0,0.0,Unit 4 Of Choice,Champaign/Middle Call Unit 4 351,Central High School,24869.0
3222609,2022-09-15,1053,90000,"Your next home or addition to your rental property portfolio is 1005 N Prospect, Champaign.  This conveniently located, turn-of-the-century home has been updated to include four bedrooms and two full baths, as well as a modern kitchen.  The large unfinished basement with laundry hook-ups provides plenty of storage, and there are several parking spaces available on the back drive.  With low property taxes, this home is a great investment.  Currently rented to a long-term renter on a month-to-month basis for $1000.  Call now to make an appointment to see it today!",4,2.0,1909,40.12582,-88.2583,6969.0,1331.0,1005 N Prospect Ave,Champaign,IL,61820,False,0.0,,2,,1.0,1.0,1.0,1.0,0.0,Unit 4 Of Choice,Champaign/Middle Call Unit 4 351,Central High School,873.0
89054599,2022-09-23,1039,624535,"Don't miss your opportunity to be the first owner of this stunning new construction home filled with exquisite detail & quality finishes throughout this 2-story home in The Trails at Abbey Fields Subdivision! Stepping inside, you are immersed in a beautifully choreographed space with abundant natural light, an open floorplan, and gorgeous hardwood floors.   The living room, breakfast area, and kitchen are the perfect combination of space for daily living and entertaining.  The front flex room would make the perfect formal dining room.  The drop zone off of the 3-car attached garage is the perfect landing spot for your stuff.  Upstairs, the master bedroom will feel warm and cozy with neutral carpeting and boasts an attached full bath and walk-in closet.  Three additional bedrooms, two full baths and a spacious laundry room complete the upper level.  Take advantage of the additional living space in the basement featuring a large ""L"" shaped rec/family room with a wet bar, a full bath, and the fifth bedroom.  This home has everything you could need and every space has been designed with comfort and elegance in mind.",5,5.0,2022,40.105846,-88.32618,,2681.0,4804 Oakdale Dr,Champaign,IL,61822,True,1.0,3.0,3,,2.0,1.0,1.0,1.0,1.0,Unit 4 Of Choice,Champaign/Middle Call Unit 4 351,Centennial High School,39.0
